species,Order,Family,source,speciemens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Amara barcelonensis,Coleoptera,Carabidae,FE,,,,,gap,
Amara biarticulata,Coleoptera,Carabidae,FE,,,,,gap,
Amara bickhardti,Coleoptera,Carabidae,FE,,,,,gap,
Amara bifrons,Coleoptera,Carabidae,BOLD:FE:iNat,41,48,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=318177 
Amara bischoffi,Coleoptera,Carabidae,FE,,,,,gap,
Amara brevicollis,Coleoptera,Carabidae,FE,,,,,gap,
Amara brevis,Coleoptera,Carabidae,FE,,,,,gap,
Amara brunnea,Coleoptera,Carabidae,BOLD:FE,21,33,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282658 
Amara cardui,Coleoptera,Carabidae,FE,,,,,gap,
Amara castanea,Coleoptera,Carabidae,FE,,,,,gap,
Amara chaudoiri,Coleoptera,Carabidae,BOLD:FE,2,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1121613 
Amara chlorotica,Coleoptera,Carabidae,FE,,,,,gap,
Amara communis,Coleoptera,Carabidae,BOLD:FE:iNat,41,57,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=459299 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=347336 
Amara concinna,Coleoptera,Carabidae,FE,,,,,gap,
Amara constantini,Coleoptera,Carabidae,FE,,,,,gap,
Amara consularis,Coleoptera,Carabidae,BOLD:FE,27,28,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=312691 
Amara convexior,Coleoptera,Carabidae,BOLD:FE,26,32,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=373917 
Amara convexiuscula,Coleoptera,Carabidae,BOLD:FE,37,37,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=236985 
Amara corpulenta,Coleoptera,Carabidae,FE,,,,,gap,
Amara cottyi,Coleoptera,Carabidae,FE,,,,FE,gap,
Amara crenata,Coleoptera,Carabidae,FE,,,,,gap,
Amara cribricollis,Coleoptera,Carabidae,FE,,,,,gap,
Amara cuniculina,Coleoptera,Carabidae,FE,,,,,gap,
Amara cursitans,Coleoptera,Carabidae,BOLD:FE,4,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=471292 
Amara curta,Coleoptera,Carabidae,BOLD:FE:iNat,21,22,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330051 
Amara dalmatina,Coleoptera,Carabidae,BOLD:FE,8,8,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1135132 
Amara deserta,Coleoptera,Carabidae,FE,,,,,gap,
Amara diaphana,Coleoptera,Carabidae,FE,,,,,gap,
Amara dichroa,Coleoptera,Carabidae,FE,,,,,gap,
Amara ditomoides,Coleoptera,Carabidae,FE,,,,,gap,
Amara doderoi,Coleoptera,Carabidae,FE,,,,,gap,
Amara equestris,Coleoptera,Carabidae,BOLD:FE:iNat,8,15,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494806 
Amara erratica,Coleoptera,Carabidae,BOLD:FE,41,42,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371289 
Amara erythrocnema,Coleoptera,Carabidae,FE,,,,,gap,
Amara espagnoli,Coleoptera,Carabidae,FE,,,,,gap,
Amara eurynota,Coleoptera,Carabidae,BOLD:FE:iNat,10,18,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=379040 
Amara eximia,Coleoptera,Carabidae,FE,,,,,gap,
Amara famelica,Coleoptera,Carabidae,BOLD:FE,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=499643 
Amara familiaris,Coleoptera,Carabidae,BOLD:FE:iNat,73,77,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282659 
Amara fausti,Coleoptera,Carabidae,FE,,,,,gap,
Amara fervida,Coleoptera,Carabidae,FE,,,,,gap,
Amara floralis,Coleoptera,Carabidae,FE,,,,,gap,
Amara fodinae,Coleoptera,Carabidae,FE,,,,,gap,
Amara frigida,Coleoptera,Carabidae,FE,,,,,gap,
Amara fulva,Coleoptera,Carabidae,BOLD:FE:iNat,26,28,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330230 
Amara fulvipes,Coleoptera,Carabidae,BOLD:FE,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=318273 
Amara fusca,Coleoptera,Carabidae,BOLD:FE,0,5,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=471300 
Amara gebleri,Coleoptera,Carabidae,BOLD:FE,6,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=286782 
Amara glabrata,Coleoptera,Carabidae,FE,,,,,gap,
Amara glacialis,Coleoptera,Carabidae,FE,13,15,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195893 
Amara gravidula,Coleoptera,Carabidae,FE,,,,FE,gap,
Amara hannemanni,Coleoptera,Carabidae,FE,,,,,gap,
Amara hicksi,Coleoptera,Carabidae,FE,,,,ITIS,gap,
Amara hyperborea,Coleoptera,Carabidae,BOLD:FE,50,59,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195895 
Amara infima,Coleoptera,Carabidae,BOLD:FE,3,15,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=347334 
Amara infirma,Coleoptera,Carabidae,BOLD,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=893778 
Amara infuscata,Coleoptera,Carabidae,FE,,,,,gap,
Amara ingenua,Coleoptera,Carabidae,BOLD:FE,11,12,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=460540 
Amara interstitialis,Coleoptera,Carabidae,BOLD:FE,5,6,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=379031 
Amara krueperi,Coleoptera,Carabidae,FE,,,,,gap,
Amara kulti,Coleoptera,Carabidae,BOLD:FE,3,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494801 
Amara lantoscana,Coleoptera,Carabidae,FE,,,,FE,gap,
Amara littoralis,Coleoptera,Carabidae,FE,66,74,6,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=124844 
Amara littorea,Coleoptera,Carabidae,BOLD:FE:iNat,49,56,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494822 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=167543 
Amara lucida,Coleoptera,Carabidae,BOLD:FE,2,4,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494821 
Amara lunicollis,Coleoptera,Carabidae,BOLD:FE:iNat,69,89,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282660 
Amara lutescens,Coleoptera,Carabidae,FE,,,,,gap,
Amara magniceps,Coleoptera,Carabidae,FE,,,,,gap,
Amara majuscula,Coleoptera,Carabidae,BOLD:FE,16,17,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330152 
Amara malacensis,Coleoptera,Carabidae,FE,,,,,gap,
Amara megacephala,Coleoptera,Carabidae,FE,,,,,gap,
Amara messae,Coleoptera,Carabidae,FE,,,,,gap,
Amara metallescens,Coleoptera,Carabidae,FE,,,,,gap,
Amara misella,Coleoptera,Carabidae,FE,,,,,gap,
Amara montana,Coleoptera,Carabidae,BOLD:FE,2,2,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1057171 
Amara montivaga,Coleoptera,Carabidae,BOLD:FE,9,10,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=373918 
Amara morio,Coleoptera,Carabidae,FE,,,,,gap,
Amara municipalis,Coleoptera,Carabidae,BOLD:FE,10,17,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=347335 
Amara nigricornis,Coleoptera,Carabidae,BOLD:FE,2,3,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=507307 
Amara nitida,Coleoptera,Carabidae,BOLD:FE,8,9,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494839 
Amara nobilis,Coleoptera,Carabidae,FE,,,,,gap,
Amara oertzeni,Coleoptera,Carabidae,FE,,,,,gap,
